,atheism_unigram,atheism_bigram
file240,539.8427409397423,2.7767673941519413
file241,407.6391521820361,0.3351133521199001
file242,492.4473816016407,0.9385391192017708
file243,526.9571060127212,0.895987750815692
file244,310.23508856399775,0.46584747458161613
file245,684.1414177978443,2.2610886754893316
file246,301.4607975354419,0.15670959473675217
file247,476.3585987799848,5.164995378523978
file248,425.0461632731377,0.0908377417330187
file249,341.73786045322356,0.1480839098461058
file250,532.4371545372148,1.1335714493759674
file251,465.61497582765895,0.3472456654127511
file252,612.435097087687,2.663458098187295
file253,544.0152177607366,1.3236248351520217
file254,519.9805948754876,1.7005772641460364
file255,319.87805176084447,0.6174519728111093
file256,457.11566409258154,0.49080256512999654
file257,485.85081587943085,1.3848195419013334
file258,480.93588779238564,0.9676587647589004
file259,507.41502496629545,1.500052148191113
file260,265.6408910537703,0.11300776359749738
file261,363.9446841740374,0.30779504374857125
file262,344.60377362236466,0.280719946514097
file263,351.7599452484032,0.20761818618265168
file264,352.30250846633544,0.23685583998941068
file265,337.5481643201645,1.00018462683055
file266,411.0692561699121,0.5755532166429146
file267,432.37060757582555,0.3437192406121392
file268,515.6520458342026,2.725088501733687
file269,346.4669413201234,0.3249077499359841
file270,325.9013498674343,0.0674325753463619
file271,363.1335580446476,0.11247409197829611
file272,720.8833978505369,0.40316727291159304
file273,340.1636743858658,0.02726025255184481
file274,870.560806381077,0.3788069435061397
file275,641.3143872641999,4.172777911576581
file276,463.032227024482,0.27999382334708406
file277,404.5632620009279,0.2640803212481433
file278,595.6968310166872,2.6905338595195363
file279,405.71039831751,0.28699550246103744
file280,466.5368935712433,0.12237118739562697
file281,444.24017152039033,0.06513868651677851
file282,499.3129608541998,0.791055481639948
file283,619.8378246120197,1.4380884577169315
file284,385.8141512040049,0.33821788852574924
file285,606.1080894728841,1.3632213261080561
file285,23.852182292790452,0.012332777183742918
file285,436.5509692962402,0.8407801538654056
file286,546.9210167664618,4.5242104009688795
file287,435.31993035093615,0.21515573367833535
file288,324.5159077287504,0.5756893393526747
file288,199.70346153338735,0.044270784768184315
file289,567.3532263378045,6.526771409737188
file290,343.3735090116786,1.9272568285597584
file291,370.4254265042007,0.17783531097734334
file292,618.8949871669174,0.3260488387893188
file293,394.97677425655615,0.44118252032516986
file294,420.11930890738455,0.12768029708123607
file295,582.1780056221451,5.9297832485976985
file296,246.11473941443467,0.13648176875191365
file297,525.526993750527,0.9412873344671276
file298,393.805202569782,0.18875877814727732
file299,458.0807440762282,0.4209402983728414
,atheism_unigram,atheism_bigram
file240,539.8427409397423,0.0006531745825659057
file241,407.6391521820361,0.0008866479407581163
file242,492.4473816016407,0.0007110135502902033
file243,526.9571060127212,0.0007209682246442081
file244,310.23508856399775,0.0011410432545108972
file245,684.1414177978443,0.0004842098198346901
file246,301.4607975354419,0.001183986179534744
file247,476.3585987799848,0.0007417672730190965
file248,425.0461632731377,0.0008145492529631774
file249,341.73786045322356,0.0009606254944077378
file250,532.4371545372148,0.0006453189922613579
file251,465.61497582765895,0.0007352434872020643
file252,612.435097087687,0.0005940369776657949
file253,544.0152177607366,0.0006573604895894012
file254,519.9805948754876,0.0007027060766467863
file255,319.87805176084447,0.0010720585500901213
file256,457.11566409258154,0.0007930634467129571
file257,485.85081587943085,0.000698626385027741
file258,480.93588779238564,0.0007035606314824948
file259,507.41502496629545,0.0008813776583632177
file260,265.6408910537703,0.0014712032705666408
file261,363.9446841740374,0.0009362046018452296
file262,344.60377362236466,0.0009723691349606585
file263,351.7599452484032,0.0009434287456959633
file264,352.30250846633544,0.0009753845926668579
file265,337.5481643201645,0.001308655963482589
file266,411.0692561699121,0.0008415052334192426
file267,432.37060757582555,0.0007797371882226085
file268,515.6520458342026,0.0006975653428351825
file269,346.4669413201234,0.001005749598077006
file270,325.9013498674343,0.0011736737936078431
file271,363.1335580446476,0.0008943838889730806
file272,720.8833978505369,0.0005948905966549374
file273,340.1636743858658,0.0009395509302622094
file274,870.560806381077,0.0004069067306710392
file275,641.3143872641999,0.0005479943731892359
file276,463.032227024482,0.0007396355869839601
file277,404.5632620009279,0.0008309758772925242
file278,595.6968310166872,0.0005771021638988751
file279,405.71039831751,0.0007898106310454192
file280,466.5368935712433,0.000742179299387277
file281,444.24017152039033,0.0008059033073377524
file282,499.3129608541998,0.0006779788732911067
file283,619.8378246120197,0.0005762632186256397
file284,385.8141512040049,0.0008759285694377008
file285,606.1080894728841,0.0006109899199411514
file285,23.852182292790452,0.012332777183742918
file285,436.5509692962402,0.001074462943293936
file286,546.9210167664618,0.0006695128486728483
file287,435.31993035093615,0.0007711547407695999
file288,324.5159077287504,0.0010279128879255414
file288,199.70346153338735,0.001532876839106994
file289,567.3532263378045,0.0006717204219004868
file290,343.3735090116786,0.0009867921809817541
file291,370.4254265042007,0.0009360555623564549
file292,618.8949871669174,0.000611034367671302
file293,394.97677425655615,0.0008946080974554266
file294,420.11930890738455,0.000894442349426569
file295,582.1780056221451,0.0006620719380632264
file296,246.11473941443467,0.001385049402138079
file297,525.526993750527,0.0006334670484234426
file298,393.805202569782,0.0008568050833806642
file299,458.0807440762282,0.000729647593212379
,atheism_unigram,atheism_bigram
file240,539.8427409397423,0.0006531745825659057
file241,407.6391521820361,0.0008866479407581163
file242,492.4473816016407,0.0007110135502902033
file243,526.9571060127212,0.0007209682246442081
file244,310.23508856399775,0.0011410432545108972
file245,684.1414177978443,0.0004842098198346901
file246,301.4607975354419,0.001183986179534744
file247,476.3585987799848,0.0007417672730190965
file248,425.0461632731377,0.0008145492529631774
file249,341.73786045322356,0.0009606254944077378
file250,532.4371545372148,0.0006453189922613579
file251,465.61497582765895,0.0007352434872020643
file252,612.435097087687,0.0005940369776657949
file253,544.0152177607366,0.0006573604895894012
file254,519.9805948754876,0.0007027060766467863
file255,319.87805176084447,0.0010720585500901213
file256,457.11566409258154,0.0007930634467129571
file257,485.85081587943085,0.000698626385027741
file258,480.93588779238564,0.0007035606314824948
file259,507.41502496629545,0.0008813776583632177
file260,265.6408910537703,0.0014712032705666408
file261,363.9446841740374,0.0009362046018452296
file262,344.60377362236466,0.0009723691349606585
file263,351.7599452484032,0.0009434287456959633
file264,352.30250846633544,0.0009753845926668579
file265,337.5481643201645,0.001308655963482589
file266,411.0692561699121,0.0008415052334192426
file267,432.37060757582555,0.0007797371882226085
file268,515.6520458342026,0.0006975653428351825
file269,346.4669413201234,0.001005749598077006
file270,325.9013498674343,0.0011736737936078431
file271,363.1335580446476,0.0008943838889730806
file272,720.8833978505369,0.0005948905966549374
file273,340.1636743858658,0.0009395509302622094
file274,870.560806381077,0.0004069067306710392
file275,641.3143872641999,0.0005479943731892359
file276,463.032227024482,0.0007396355869839601
file277,404.5632620009279,0.0008309758772925242
file278,595.6968310166872,0.0005771021638988751
file279,405.71039831751,0.0007898106310454192
file280,466.5368935712433,0.000742179299387277
file281,444.24017152039033,0.0008059033073377524
file282,499.3129608541998,0.0006779788732911067
file283,619.8378246120197,0.0005762632186256397
file284,385.8141512040049,0.0008759285694377008
file285,606.1080894728841,0.0006109899199411514
file285,23.852182292790452,0.012332777183742918
file285,436.5509692962402,0.001074462943293936
file286,546.9210167664618,0.0006695128486728483
file287,435.31993035093615,0.0007711547407695999
file288,324.5159077287504,0.0010279128879255414
file288,199.70346153338735,0.001532876839106994
file289,567.3532263378045,0.0006717204219004868
file290,343.3735090116786,0.0009867921809817541
file291,370.4254265042007,0.0009360555623564549
file292,618.8949871669174,0.000611034367671302
file293,394.97677425655615,0.0008946080974554266
file294,420.11930890738455,0.000894442349426569
file295,582.1780056221451,0.0006620719380632264
file296,246.11473941443467,0.001385049402138079
file297,525.526993750527,0.0006334670484234426
file298,393.805202569782,0.0008568050833806642
file299,458.0807440762282,0.000729647593212379
