,graphics_unigram,graphics_bigram
file240,357.72147651886627,0.0970661538423131
file241,320.5428988225855,0.0272212737810631
file242,473.8913857245608,0.10469514372565032
file243,160.4877950762266,0.019052274963913235
file244,708.7634243547972,0.01865451461410707
file245,335.01393248071383,0.11404201549951287
file246,440.0021169864601,0.021415717670274812
file247,206.88435049196383,0.15291656587198338
file248,401.46624314192013,0.2009009093082719
file249,695.6294996351143,4.586966862216164
file250,691.3100016623242,0.17091581861278984
file251,589.297877945465,2.3835724914267105
file252,400.6626085191914,0.18451774994482573
file253,290.7839088912276,0.05842628152922927
file254,184.43109427553173,0.010599457108148554
file255,774.3840304264531,3.8399322917736947
file256,366.83052321806684,0.05924350557930123
file257,366.86695028395803,1.1457952752821043
file258,434.58848166763215,0.1190213050574068
file259,247.73784703862995,0.09309199870917151
file260,366.39732933538784,0.13137798224354444
file261,293.3324126652052,0.04185422559453189
file262,140.1904962674073,0.053145607201041285
file263,361.5469146754687,0.12541719779081542
file264,378.38830521062204,1.0438210148308054
file265,424.24306452766257,0.2723198925905877
file266,364.381621463332,0.057304939287044304
file267,678.2980135596247,0.010003286370683085
file267,350.8604242632068,0.11442145907393762
file268,390.334933098901,0.023813597327051045
file269,579.8514750038757,0.09012483316648577
file270,280.4273364947747,0.1046932414348572
file271,225.07176031137092,0.3927072330966902
file272,386.74080908483154,0.032814926669792244
file273,316.2860433475506,0.11573002716718868
file274,424.65260544745627,0.03387914270971174
file275,719.2470297559237,0.16470640140589135
file276,355.30890923618165,0.0660619558925908
file277,208.28754824884092,0.08717362153685407
file278,302.18291894407616,0.08508844315760143
file279,152.37637543029584,0.020032776999867753
file280,331.04365320204727,0.13469847257057332
file281,400.86145049853303,0.4349743893184007
file282,294.5858137295302,0.1913429146208896
file283,318.9668015726246,0.07879506059977283
file284,371.7659965077887,0.13701078975256792
file285,546.4597273494591,0.3046473973890601
file286,197.57176390769533,0.0562405171313371
file287,223.31524994162314,0.14054423591908427
file288,363.7527896536501,1.191177696211046
file289,759.9585565123348,0.29678374131191265
file290,542.1403158071275,1.6147841242244496
file291,369.2751719845599,0.05583740951520158
file292,411.07582390054927,0.06258152815660718
file293,445.4369374648288,0.11574727097327332
file294,269.83860644236364,0.1426633808054945
file295,431.19599678533984,0.037545501860948044
file296,492.58494446015175,0.15569369473215827
file297,256.6468751267402,0.3899597682874242
file298,323.1478814422733,0.09004709249221643
file299,236.86802280348667,0.06499444202288378
,graphics_unigram,graphics_bigram
file240,357.72147651886627,0.001179463930226338
file241,320.5428988225855,0.001351917075914139
file242,473.8913857245608,0.001152723552777782
file243,160.4877950762266,0.002566054178837036
file244,708.7634243547972,0.0006237376559711378
file245,335.01393248071383,0.0012065995118979978
file246,440.0021169864601,0.0009762530891744773
file247,206.88435049196383,0.0023423220252475293
file248,401.46624314192013,0.0010402183336958323
file249,695.6294996351143,0.0006856252057959473
file250,691.3100016623242,0.0006574894197137916
file251,589.297877945465,0.0008165248652545762
file252,400.6626085191914,0.0010511521463282326
file253,290.7839088912276,0.0015065116839972144
file254,184.43109427553173,0.002430719358619485
file255,774.3840304264531,0.0008096481313932367
file256,366.83052321806684,0.0016059419402986764
file257,366.86695028395803,0.0013933904556773283
file258,434.58848166763215,0.0011245686170800804
file259,247.73784703862995,0.0017636193473932913
file260,366.39732933538784,0.0012987590541910044
file261,293.3324126652052,0.0014735495419655293
file262,140.1904962674073,0.0027675444808911076
file263,361.5469146754687,0.0013634968102520333
file264,378.38830521062204,0.0013281051689342555
file265,424.24306452766257,0.0010530034409625313
file266,364.381621463332,0.0011977856394533059
file267,678.2980135596247,0.0006484272188263369
file267,350.8604242632068,0.0015271588424642497
file268,390.334933098901,0.0010727411228775173
file269,579.8514750038757,0.0007039113895347252
file270,280.4273364947747,0.001539470866376738
file271,225.07176031137092,0.0021987171573180754
file272,386.74080908483154,0.0010950318719330312
file273,316.2860433475506,0.0013714287695891273
file274,424.65260544745627,0.0009968963142434303
file275,719.2470297559237,0.0007041857430522909
file276,355.30890923618165,0.001129811616072141
file277,208.28754824884092,0.001803635825649296
file278,302.18291894407616,0.0014253330932830553
file279,152.37637543029584,0.0024970922410157306
file280,331.04365320204727,0.001304107106689325
file281,400.86145049853303,0.0010533859466671147
file282,294.5858137295302,0.0016463076963060322
file283,318.9668015726246,0.0014141823911796335
file284,371.7659965077887,0.0011995320842189503
file285,546.4597273494591,0.0008002175491918853
file286,197.57176390769533,0.002183751540157888
file287,223.31524994162314,0.0024132160219961325
file288,363.7527896536501,0.001210869432346554
file289,759.9585565123348,0.0007108519904904034
file290,542.1403158071275,0.000828515391146376
file291,369.2751719845599,0.0011693393939733996
file292,411.07582390054927,0.001045123897793867
file293,445.4369374648288,0.0012215371107533544
file294,269.83860644236364,0.0017893417207206265
file295,431.19599678533984,0.0009319300560734016
file296,492.58494446015175,0.0008548981309648301
file297,256.6468751267402,0.0016184626937694106
file298,323.1478814422733,0.0012879412102063971
file299,236.86802280348667,0.0018463103723759884
,graphics_unigram,graphics_bigram
file240,357.72147651886627,0.001179463930226338
file241,320.5428988225855,0.001351917075914139
file242,473.8913857245608,0.001152723552777782
file243,160.4877950762266,0.002566054178837036
file244,708.7634243547972,0.0006237376559711378
file245,335.01393248071383,0.0012065995118979978
file246,440.0021169864601,0.0009762530891744773
file247,206.88435049196383,0.0023423220252475293
file248,401.46624314192013,0.0010402183336958323
file249,695.6294996351143,0.0006856252057959473
file250,691.3100016623242,0.0006574894197137916
file251,589.297877945465,0.0008165248652545762
file252,400.6626085191914,0.0010511521463282326
file253,290.7839088912276,0.0015065116839972144
file254,184.43109427553173,0.002430719358619485
file255,774.3840304264531,0.0008096481313932367
file256,366.83052321806684,0.0016059419402986764
file257,366.86695028395803,0.0013933904556773283
file258,434.58848166763215,0.0011245686170800804
file259,247.73784703862995,0.0017636193473932913
file260,366.39732933538784,0.0012987590541910044
file261,293.3324126652052,0.0014735495419655293
file262,140.1904962674073,0.0027675444808911076
file263,361.5469146754687,0.0013634968102520333
file264,378.38830521062204,0.0013281051689342555
file265,424.24306452766257,0.0010530034409625313
file266,364.381621463332,0.0011977856394533059
file267,678.2980135596247,0.0006484272188263369
file267,350.8604242632068,0.0015271588424642497
file268,390.334933098901,0.0010727411228775173
file269,579.8514750038757,0.0007039113895347252
file270,280.4273364947747,0.001539470866376738
file271,225.07176031137092,0.0021987171573180754
file272,386.74080908483154,0.0010950318719330312
file273,316.2860433475506,0.0013714287695891273
file274,424.65260544745627,0.0009968963142434303
file275,719.2470297559237,0.0007041857430522909
file276,355.30890923618165,0.001129811616072141
file277,208.28754824884092,0.001803635825649296
file278,302.18291894407616,0.0014253330932830553
file279,152.37637543029584,0.0024970922410157306
file280,331.04365320204727,0.001304107106689325
file281,400.86145049853303,0.0010533859466671147
file282,294.5858137295302,0.0016463076963060322
file283,318.9668015726246,0.0014141823911796335
file284,371.7659965077887,0.0011995320842189503
file285,546.4597273494591,0.0008002175491918853
file286,197.57176390769533,0.002183751540157888
file287,223.31524994162314,0.0024132160219961325
file288,363.7527896536501,0.001210869432346554
file289,759.9585565123348,0.0007108519904904034
file290,542.1403158071275,0.000828515391146376
file291,369.2751719845599,0.0011693393939733996
file292,411.07582390054927,0.001045123897793867
file293,445.4369374648288,0.0012215371107533544
file294,269.83860644236364,0.0017893417207206265
file295,431.19599678533984,0.0009319300560734016
file296,492.58494446015175,0.0008548981309648301
file297,256.6468751267402,0.0016184626937694106
file298,323.1478814422733,0.0012879412102063971
file299,236.86802280348667,0.0018463103723759884
