,motorcycles_unigram,motorcycles_bigram
file240,860.0860053599487,0.00054790886997395
file241,407.7725936797858,0.0010841172779265794
file242,313.1996802753912,0.001172284789031676
file243,416.4727320279543,0.000928550018515591
file244,286.7039337161351,0.0013916784922148213
file245,287.044337993841,0.0016588272514755057
file246,425.1658270759591,0.0009411958279943003
file247,230.08407836735014,0.0017179705231826791
file248,411.6053644727179,0.0009568441178050717
file249,419.7244867106332,0.0009989675094292296
file250,236.6323263036185,0.0018865709528579524
file251,395.8206485021345,0.0009701412856720455
file252,598.1106704861818,0.0006881683952827024
file253,307.65057331138127,0.0012822502200695836
file254,329.6324914134732,0.0012831276408227928
file255,348.0881442070007,0.001139287242357627
file256,263.9387489403424,0.0014590784184376454
file257,282.1784551337784,0.001355552633305596
file258,405.512895489156,0.001099935723083673
file259,315.07173686801025,0.001240106247813523
file260,466.6933942274066,0.0008545896397607193
file261,510.9913521463565,0.0007725663422428273
file262,233.06662710680175,0.0016977072582700396
file263,524.241904475243,0.0007933798285615313
file264,470.9117918280099,0.0007660830356744255
file265,371.91731287209376,0.0010987857131560508
file266,563.5133547649813,0.0007770469573705134
file267,479.47731685288517,0.000807066495416611
file268,339.39861903681486,0.0011384623637769164
file269,266.56155521350087,0.0017185425756502228
file270,344.9445531757279,0.001298183859159415
file271,447.15034532953825,0.0009358050054951291
file272,396.0606954773747,0.0010314117739677875
file273,367.3718878501352,0.0012779750915780583
file274,271.477454949369,0.0016211074011266884
file275,485.30841832211905,0.0010363776810383388
file276,340.5661927946091,0.0011790284209597206
file277,540.5535022451336,0.0008371812864348827
file278,335.74477164247764,0.0011828570236117697
file279,414.3592703114932,0.0009632782368116879
file280,546.8186064410538,0.0007924311096215605
file281,434.5448885345493,0.0009192326203987699
file282,404.83465769578015,0.0009798062106940505
file283,506.8169073953783,0.0008380353949799022
file284,355.4035613377721,0.0012892556824889783
file285,545.7104530184488,0.0007550509461814149
file286,546.3023208561701,0.0007663703004247164
file287,341.34812438074425,0.0011150416476896532
file288,481.74256075079967,0.0008403811120600584
file289,406.8875221094516,0.00112544303292403
file290,290.8754089006639,0.0013737147440666382
file291,96.82326045059604,0.004358119375664286
file292,421.0412459128823,0.0009207206946560446
file293,310.9881379266986,0.0014727130542752866
file294,303.728285752245,0.001265445782116782
file295,497.0811343110002,0.0007882428441395734
file296,329.3917340057424,0.0011995879200434603
file297,501.6761629309361,0.0009119873910070082
file298,440.7389681439916,0.0009128159791990832
file299,292.00901548348315,0.0012890660090469433
,motorcycles_unigram,motorcycles_bigram
file240,860.0860053599487,0.00054790886997395
file241,407.7725936797858,0.0010841172779265794
file242,313.1996802753912,0.001172284789031676
file243,416.4727320279543,0.000928550018515591
file244,286.7039337161351,0.0013916784922148213
file245,287.044337993841,0.0016588272514755057
file246,425.1658270759591,0.0009411958279943003
file247,230.08407836735014,0.0017179705231826791
file248,411.6053644727179,0.0009568441178050717
file249,419.7244867106332,0.0009989675094292296
file250,236.6323263036185,0.0018865709528579524
file251,395.8206485021345,0.0009701412856720455
file252,598.1106704861818,0.0006881683952827024
file253,307.65057331138127,0.0012822502200695836
file254,329.6324914134732,0.0012831276408227928
file255,348.0881442070007,0.001139287242357627
file256,263.9387489403424,0.0014590784184376454
file257,282.1784551337784,0.001355552633305596
file258,405.512895489156,0.001099935723083673
file259,315.07173686801025,0.001240106247813523
file260,466.6933942274066,0.0008545896397607193
file261,510.9913521463565,0.0007725663422428273
file262,233.06662710680175,0.0016977072582700396
file263,524.241904475243,0.0007933798285615313
file264,470.9117918280099,0.0007660830356744255
file265,371.91731287209376,0.0010987857131560508
file266,563.5133547649813,0.0007770469573705134
file267,479.47731685288517,0.000807066495416611
file268,339.39861903681486,0.0011384623637769164
file269,266.56155521350087,0.0017185425756502228
file270,344.9445531757279,0.001298183859159415
file271,447.15034532953825,0.0009358050054951291
file272,396.0606954773747,0.0010314117739677875
file273,367.3718878501352,0.0012779750915780583
file274,271.477454949369,0.0016211074011266884
file275,485.30841832211905,0.0010363776810383388
file276,340.5661927946091,0.0011790284209597206
file277,540.5535022451336,0.0008371812864348827
file278,335.74477164247764,0.0011828570236117697
file279,414.3592703114932,0.0009632782368116879
file280,546.8186064410538,0.0007924311096215605
file281,434.5448885345493,0.0009192326203987699
file282,404.83465769578015,0.0009798062106940505
file283,506.8169073953783,0.0008380353949799022
file284,355.4035613377721,0.0012892556824889783
file285,545.7104530184488,0.0007550509461814149
file286,546.3023208561701,0.0007663703004247164
file287,341.34812438074425,0.0011150416476896532
file288,481.74256075079967,0.0008403811120600584
file289,406.8875221094516,0.00112544303292403
file290,290.8754089006639,0.0013737147440666382
file291,96.82326045059604,0.004358119375664286
file292,421.0412459128823,0.0009207206946560446
file293,310.9881379266986,0.0014727130542752866
file294,303.728285752245,0.001265445782116782
file295,497.0811343110002,0.0007882428441395734
file296,329.3917340057424,0.0011995879200434603
file297,501.6761629309361,0.0009119873910070082
file298,440.7389681439916,0.0009128159791990832
file299,292.00901548348315,0.0012890660090469433
